"name","product_id","total_ordered","diff_with_previous"
Keyboards,d15ca868-4f26-4bc2-8159-b618b051e2f1,3778,
Networking Devices,a7471685-acb0-4b06-ae35-c3807153082e,3759,-19
Audio Equipment,"89244e9b-431f-47d1-9609-d7ef8c38da30",3754,-5
Headsets,"2beff75f-39d4-4230-b015-77f558d609ba",3730,-24
Cameras,"8d94cdc9-e74d-4cf6-9737-6bcb96b76912",3714,-16
Mice,c2c2dd84-0052-4823-a983-f803d4154060,3700,-14
Tablets,"5fc9d378-f866-49ca-b6af-a516ccba8811",3688,-12
Storage Devices,"5018cc2d-d17d-46a3-95e5-5d3604804983",3686,-2
Wearable Technology,c001e669-6bfa-42b3-a15b-650d90b52ece,3677,-9
Desktop Computers,f6198779-2ac7-4977-b36f-bdb928a023b2,3676,-1
Printers,fc1efb8f-f18b-464e-9258-e7f198c04d17,3654,-22
Gaming Consoles,cbe5f998-6866-4423-8708-616416fe1c49,3644,-10
Monitors,c5d461ab-59d9-44c4-b509-61d9037d7916,3577,-67
Mobile Devices,b087ab0e-3486-4712-97c4-f70b5800359e,3573,-4
Accessories,"09a319a4-5616-4597-9457-ecfd09353395",3490,-83
Laptops,e6d78460-25f8-4895-8a58-b105a1895bb3,3357,-133
