category,product_id,amount,amount_difference
Keyboards,d15ca868-4f26-4bc2-8159-b618b051e2f1,5,0
Wearable Technology,0e585341-438c-4b0d-910b-a4a265cee420,5,0
Wearable Technology,c001e669-6bfa-42b3-a15b-650d90b52ece,5,0
Wearable Technology,91c32b89-9f7c-4898-9ef9-e7e5c1fdd96b,5,5
Storage Devices,cab3537b-3ab6-43d4-a58e-f771d3a4fe11,5,5
Storage Devices,5018cc2d-d17d-46a3-95e5-5d3604804983,5,0
Storage Devices,c7a4e539-2eee-4368-9216-2af47514b4ef,5,0
Tablets,5fc9d378-f866-49ca-b6af-a516ccba8811,5,5
Tablets,b9e96b5b-ff5d-4672-b756-6b29f42ca292,5,0
Audio Equipment,7b6609b2-a353-4946-ab27-baed336023a0,5,5
Audio Equipment,89244e9b-431f-47d1-9609-d7ef8c38da30,5,0
Audio Equipment,d9c44d87-2cb5-475f-94cb-56d6dcc0934c,5,0
Gaming Consoles,cbe5f998-6866-4423-8708-616416fe1c49,5,5
Cameras,300c60f3-b199-4627-baeb-36de56d396fb,5,5
Cameras,4ce49aba-2144-4aed-9722-835c612ce505,5,0
Cameras,7d49d534-22f4-4dd7-9648-b8a4a693086e,5,0
Cameras,8d94cdc9-e74d-4cf6-9737-6bcb96b76912,5,0
Cameras,b8afce90-7d6b-4b20-a1f7-5834e03332d7,5,0
Desktop Computers,c238fbe3-aa46-4bb2-b5a8-368b6c9e1334,5,5
Desktop Computers,f6198779-2ac7-4977-b36f-bdb928a023b2,5,0
Headsets,2beff75f-39d4-4230-b015-77f558d609ba,5,5
Headsets,321f212c-82d9-4e7d-89ad-ce14a9dc4be5,5,0
Headsets,3fb6d14d-b0d6-4a2f-a86a-438ab6ffc9c7,5,0
Headsets,4880082c-ce15-4f76-87c3-c543010bb085,5,0
Headsets,66e78767-d40e-48fb-b169-51485ddd9022,5,0
Networking Devices,a3ee4ef2-b35d-4f56-a299-4ea0f6a05059,5,5
Networking Devices,a6983048-915d-4da6-b0d8-728264b71a70,5,0
Networking Devices,a7471685-acb0-4b06-ae35-c3807153082e,5,0
Networking Devices,ca10d4b5-24c1-4a3b-81f6-e6ee160a5418,5,0
Laptops,e6d78460-25f8-4895-8a58-b105a1895bb3,5,5
Mice,23b8d3a7-326a-4a60-bc22-0bfa874354a8,5,5
Mice,c2c2dd84-0052-4823-a983-f803d4154060,5,0
Mice,f866bd10-292b-4dc4-bf61-07fcf89999d9,5,0
Monitors,363bcb79-ca33-4b0e-a3c2-92e91997d921,5,5
Monitors,62e3fa40-4a4a-4d04-9a09-1bbbe0cec879,5,0
Monitors,8c1f2869-61ad-46b1-8823-1e53b3288cda,5,0
Monitors,b0c15eb6-2a43-4c5f-8058-5b2b61e93299,5,0
Monitors,c5d461ab-59d9-44c4-b509-61d9037d7916,5,0
Printers,6908714d-b5c8-49d2-aa06-97b138ac72f4,5,5
Printers,fc1efb8f-f18b-464e-9258-e7f198c04d17,5,0
Accessories,01f99d76-b97b-4ae3-98c8-8091c58ef32b,5,5
Accessories,09a319a4-5616-4597-9457-ecfd09353395,5,0
Accessories,64801cac-ce58-4324-a96a-9c392b5d1385,5,0
Accessories,d0fe57a2-d1e3-4174-bea4-358f662ae1a7,5,0
Mobile Devices,93a76885-35f4-4fa6-ad64-d3187d7250ec,5,5
Mobile Devices,b087ab0e-3486-4712-97c4-f70b5800359e,5,0
Keyboards,bcf1fd68-019e-4156-9891-764a00da9180,5,5
Keyboards,cb8e195f-238f-422e-9e5c-164765dfcc9a,5,0
Keyboards,cd97ad9e-12f9-4140-9190-8c36c207d386,5,0
Wearable Technology,91c32b89-9f7c-4898-9ef9-e7e991fdd96b,2,-3
